pathway,gene
N00017,ENSG00000108379
N00017,ENSG00000154342
N00017,ENSG00000162552
N00017,ENSG00000114251
N00017,ENSG00000111186
N00017,ENSG00000115596
N00017,ENSG00000154764
N00017,ENSG00000188064
N00017,ENSG00000061492
N00017,ENSG00000075290
N00017,ENSG00000143816
N00017,ENSG00000158955
N00017,ENSG00000135925
N00017,ENSG00000169884
N00017,ENSG00000002745
N00073,ENSG00000110092
N00073,ENSG00000118971
N00073,ENSG00000112576
N00073,ENSG00000135446
N00073,ENSG00000139687
N00073,ENSG00000101412
N00073,ENSG00000007968
N00073,ENSG00000112242
N00076,ENSG00000147889
N00076,ENSG00000135679
N00076,ENSG00000141510
N00076,ENSG00000124762
N00076,ENSG00000110092
N00076,ENSG00000118971
N00076,ENSG00000112576
N00076,ENSG00000135446
N00076,ENSG00000105810
N00076,ENSG00000139687
N00076,ENSG00000101412
N00076,ENSG00000007968
N00076,ENSG00000112242
N00080,ENSG00000134086
N00080,ENSG00000100387
N00080,ENSG00000154582
N00080,ENSG00000103363
N00080,ENSG00000108094
N00080,ENSG00000100644
N00080,ENSG00000143437
N00080,ENSG00000117394
N00080,ENSG00000112715
N00080,ENSG00000105329
N00080,ENSG00000092969
N00080,ENSG00000119699
N00080,ENSG00000100311
N00080,ENSG00000163235
N00081,ENSG00000134086
N00081,ENSG00000100387
N00081,ENSG00000154582
N00081,ENSG00000103363
N00081,ENSG00000108094
N00081,ENSG00000100644
N00081,ENSG00000143437
N00081,ENSG00000117394
N00081,ENSG00000112715
N00081,ENSG00000105329
N00081,ENSG00000092969
N00081,ENSG00000119699
N00081,ENSG00000100311
N00081,ENSG00000163235
N00082,ENSG00000167034
N00082,ENSG00000142208
N00082,ENSG00000105221
N00082,ENSG00000117020
N00082,ENSG00000002330
N00084,ENSG00000169083
N00084,ENSG00000142515
N00085,ENSG00000169083
N00085,ENSG00000142515
N00093,ENSG00000111276
N00093,ENSG00000105173
N00093,ENSG00000175305
N00093,ENSG00000123374
N00093,ENSG00000139687
N00093,ENSG00000101412
N00093,ENSG00000007968
N00093,ENSG00000112242
N00088,ENSG00000136997
N00088,ENSG00000125952
N00088,ENSG00000116809
N00088,ENSG00000147883
N00088,ENSG00000110092
N00088,ENSG00000118971
N00088,ENSG00000112576
N00088,ENSG00000135446
N00088,ENSG00000105810
N00088,ENSG00000139687
N00088,ENSG00000101412
N00088,ENSG00000007968
N00088,ENSG00000112242
N00089,ENSG00000136997
N00089,ENSG00000125952
N00089,ENSG00000110092
N00089,ENSG00000118971
N00089,ENSG00000112576
N00089,ENSG00000135446
N00089,ENSG00000105810
N00089,ENSG00000139687
N00089,ENSG00000101412
N00089,ENSG00000007968
N00089,ENSG00000112242
N00092,ENSG00000136997
N00092,ENSG00000125952
N00092,ENSG00000173207
N00092,ENSG00000113558
N00092,ENSG00000055130
N00092,ENSG00000100387
N00092,ENSG00000145604
N00092,ENSG00000111276
N00092,ENSG00000105173
N00092,ENSG00000175305
N00092,ENSG00000123374
N00092,ENSG00000139687
N00092,ENSG00000101412
N00092,ENSG00000007968
N00092,ENSG00000112242
N00100,ENSG00000171791
N00100,ENSG00000087088
N00100,ENSG00000172115
N00100,ENSG00000120868
N00100,ENSG00000132906
N00100,ENSG00000164305
N00100,ENSG00000165806
N00007,ENSG00000171094
N00007,ENSG00000174775
N00007,ENSG00000133703
N00007,ENSG00000213281
N00007,ENSG00000078061
N00007,ENSG00000157764
N00007,ENSG00000132155
N00007,ENSG00000169032
N00007,ENSG00000126934
N00007,ENSG00000100030
N00007,ENSG00000102882
N00007,ENSG00000110092
N00014,ENSG00000146648
N00014,ENSG00000177885
N00014,ENSG00000115904
N00014,ENSG00000100485
N00014,ENSG00000174775
N00014,ENSG00000133703
N00014,ENSG00000213281
N00014,ENSG00000078061
N00014,ENSG00000157764
N00014,ENSG00000132155
N00014,ENSG00000169032
N00014,ENSG00000126934
N00014,ENSG00000100030
N00014,ENSG00000102882
N00014,ENSG00000110092
N00024,ENSG00000146648
N00024,ENSG00000124181
N00024,ENSG00000197943
N00024,ENSG00000154229
N00024,ENSG00000166501
N00024,ENSG00000126583
N00024,ENSG00000078061
N00024,ENSG00000157764
N00024,ENSG00000132155
N00024,ENSG00000169032
N00024,ENSG00000126934
N00024,ENSG00000100030
N00024,ENSG00000102882
N00024,ENSG00000110092
N00025,ENSG00000171094
N00025,ENSG00000124181
N00025,ENSG00000197943
N00025,ENSG00000154229
N00025,ENSG00000166501
N00025,ENSG00000126583
N00025,ENSG00000078061
N00025,ENSG00000157764
N00025,ENSG00000132155
N00025,ENSG00000169032
N00025,ENSG00000126934
N00025,ENSG00000100030
N00025,ENSG00000102882
N00025,ENSG00000110092
N00036,ENSG00000146648
N00036,ENSG00000121879
N00036,ENSG00000051382
N00036,ENSG00000171608
N00036,ENSG00000142208
N00036,ENSG00000105221
N00036,ENSG00000117020
N00036,ENSG00000002330
N00047,ENSG00000171094
N00047,ENSG00000121879
N00047,ENSG00000051382
N00047,ENSG00000171608
N00047,ENSG00000142208
N00047,ENSG00000105221
N00047,ENSG00000117020
N00047,ENSG00000002330
N00097,ENSG00000174775
N00097,ENSG00000133703
N00097,ENSG00000213281
N00097,ENSG00000068028
N00097,ENSG00000266094
N00097,ENSG00000101109
N00105,ENSG00000171094
N00105,ENSG00000105639
N00105,ENSG00000168610
N00105,ENSG00000126561
N00105,ENSG00000173757
N01062,ENSG00000105976
N01062,ENSG00000177885
N01062,ENSG00000115904
N01062,ENSG00000100485
N01062,ENSG00000174775
N01062,ENSG00000133703
N01062,ENSG00000213281
N01062,ENSG00000078061
N01062,ENSG00000157764
N01062,ENSG00000132155
N01062,ENSG00000169032
N01062,ENSG00000126934
N01062,ENSG00000100030
N01062,ENSG00000102882
N01063,ENSG00000105976
N01063,ENSG00000109458
N01063,ENSG00000121879
N01063,ENSG00000051382
N01063,ENSG00000171608
N01063,ENSG00000142208
N01063,ENSG00000105221
N01063,ENSG00000117020
N01063,ENSG00000198793
