pathway,gene
N00034,ENSG00000198793
N00034,ENSG00000108443
N00034,ENSG00000175634
N00038,ENSG00000077782
N00038,ENSG00000066468
N00038,ENSG00000121879
N00038,ENSG00000051382
N00038,ENSG00000171608
N00038,ENSG00000142208
N00038,ENSG00000105221
N00038,ENSG00000117020
N00038,ENSG00000198793
N00042,ENSG00000146648
N00042,ENSG00000121879
N00042,ENSG00000051382
N00042,ENSG00000171608
N00042,ENSG00000142208
N00042,ENSG00000105221
N00042,ENSG00000117020
N00042,ENSG00000198793
N00042,ENSG00000108443
N00042,ENSG00000175634
N00049,ENSG00000121879
N00049,ENSG00000142208
N00049,ENSG00000105221
N00049,ENSG00000117020
N00049,ENSG00000198793
N00049,ENSG00000108443
N00049,ENSG00000175634
N00050,ENSG00000121879
N00050,ENSG00000142208
N00050,ENSG00000105221
N00050,ENSG00000117020
N00050,ENSG00000198793
N00050,ENSG00000108443
N00050,ENSG00000175634
N00052,ENSG00000171862
N00052,ENSG00000142208
N00052,ENSG00000105221
N00052,ENSG00000117020
N00059,ENSG00000125084
N00059,ENSG00000105989
N00059,ENSG00000134245
N00059,ENSG00000108379
N00059,ENSG00000154342
N00059,ENSG00000162552
N00059,ENSG00000114251
N00059,ENSG00000111186
N00059,ENSG00000115596
N00059,ENSG00000154764
N00059,ENSG00000188064
N00059,ENSG00000061492
N00059,ENSG00000075290
N00059,ENSG00000143816
N00059,ENSG00000158955
N00059,ENSG00000135925
N00059,ENSG00000169884
N00059,ENSG00000002745
N00059,ENSG00000155760
N00059,ENSG00000162337
N00059,ENSG00000070018
N00059,ENSG00000107404
N00059,ENSG00000004975
N00059,ENSG00000161202
N00059,ENSG00000165879
N00059,ENSG00000181274
N00059,ENSG00000082701
N00059,ENSG00000103126
N00059,ENSG00000168646
N00059,ENSG00000134982
N00059,ENSG00000168036
N00059,ENSG00000081059
N00059,ENSG00000152284
N00059,ENSG00000148737
N00059,ENSG00000138795
N00059,ENSG00000136997
N00059,ENSG00000110092
N00060,ENSG00000125084
N00060,ENSG00000105989
N00060,ENSG00000134245
N00060,ENSG00000108379
N00060,ENSG00000154342
N00060,ENSG00000162552
N00060,ENSG00000114251
N00060,ENSG00000111186
N00060,ENSG00000115596
N00060,ENSG00000154764
N00060,ENSG00000188064
N00060,ENSG00000061492
N00060,ENSG00000075290
N00060,ENSG00000143816
N00060,ENSG00000158955
N00060,ENSG00000135925
N00060,ENSG00000169884
N00060,ENSG00000002745
N00060,ENSG00000157240
N00060,ENSG00000180340
N00060,ENSG00000104290
N00060,ENSG00000174804
N00060,ENSG00000163251
N00060,ENSG00000164930
N00060,ENSG00000155760
N00060,ENSG00000177283
N00060,ENSG00000188763
N00060,ENSG00000111432
N00060,ENSG00000070018
N00060,ENSG00000107404
N00060,ENSG00000004975
N00060,ENSG00000161202
N00060,ENSG00000165879
N00060,ENSG00000181274
N00060,ENSG00000082701
N00060,ENSG00000103126
N00060,ENSG00000168646
N00060,ENSG00000134982
N00060,ENSG00000168036
N00060,ENSG00000081059
N00060,ENSG00000152284
N00060,ENSG00000148737
N00060,ENSG00000138795
N00060,ENSG00000136997
N00060,ENSG00000110092
N00087,ENSG00000198719
N00087,ENSG00000090932
N00087,ENSG00000128917
N00087,ENSG00000101384
N00087,ENSG00000184916
N00087,ENSG00000148400
N00087,ENSG00000204301
N00087,ENSG00000168214
N00087,ENSG00000124232
N00087,ENSG00000141736
N00087,ENSG00000114315
N00087,ENSG00000197921
N00087,ENSG00000164683
N00087,ENSG00000135547
N00087,ENSG00000163909
N00087,ENSG00000037280
N00275,ENSG00000110092
N00275,ENSG00000135446
N00275,ENSG00000139687
N00275,ENSG00000101412
N00275,ENSG00000007968
N00275,ENSG00000112242
N00287,ENSG00000091831
N00287,ENSG00000124151
N00287,ENSG00000084676
N00287,ENSG00000110092
N00287,ENSG00000136997
N00057,ENSG00000082701
N00057,ENSG00000103126
N00057,ENSG00000168646
N00057,ENSG00000134982
N00057,ENSG00000168036
N00057,ENSG00000081059
N00057,ENSG00000152284
N00057,ENSG00000148737
N00057,ENSG00000138795
N00057,ENSG00000089685
N00057,ENSG00000136997
N00057,ENSG00000110092
N00058,ENSG00000082701
N00058,ENSG00000103126
N00058,ENSG00000168646
N00058,ENSG00000134982
N00058,ENSG00000168036
N00058,ENSG00000081059
N00058,ENSG00000152284
N00058,ENSG00000148737
N00058,ENSG00000138795
N00058,ENSG00000089685
N00058,ENSG00000136997
N00058,ENSG00000110092
N00064,ENSG00000163513
N00064,ENSG00000106799
N00064,ENSG00000175387
N00064,ENSG00000166949
N00065,ENSG00000163513
N00065,ENSG00000106799
N00065,ENSG00000175387
N00065,ENSG00000166949
N00099,ENSG00000087088
N00099,ENSG00000172115
N00102,ENSG00000164305
N00102,ENSG00000187323
N00102,ENSG00000132906
N00102,ENSG00000157500
N00104,ENSG00000133703
N00104,ENSG00000160271
N00104,ENSG00000006451
N00104,ENSG00000144118
N00230,ENSG00000163235
N00230,ENSG00000146648
N00230,ENSG00000177885
N00230,ENSG00000115904
N00230,ENSG00000100485
N00230,ENSG00000174775
N00230,ENSG00000133703
N00230,ENSG00000213281
N00230,ENSG00000078061
N00230,ENSG00000157764
N00230,ENSG00000132155
N00230,ENSG00000169032
N00230,ENSG00000126934
N00230,ENSG00000100030
N00230,ENSG00000102882
N00232,ENSG00000163235
N00232,ENSG00000146648
N00232,ENSG00000121879
N00232,ENSG00000051382
N00232,ENSG00000171608
N00232,ENSG00000142208
N00232,ENSG00000105221
N00232,ENSG00000117020
N00276,ENSG00000138798
N00276,ENSG00000146648
N00276,ENSG00000177885
N00276,ENSG00000115904
N00276,ENSG00000100485
N00276,ENSG00000174775
N00276,ENSG00000133703
N00276,ENSG00000213281
N00276,ENSG00000078061
N00276,ENSG00000157764
N00276,ENSG00000132155
N00276,ENSG00000169032
N00276,ENSG00000126934
N00276,ENSG00000100030
N00276,ENSG00000102882
N00278,ENSG00000124882
N00278,ENSG00000146648
N00278,ENSG00000177885
N00278,ENSG00000115904
N00278,ENSG00000100485
N00278,ENSG00000174775
N00278,ENSG00000133703
N00278,ENSG00000213281
N00278,ENSG00000078061
N00278,ENSG00000157764
N00278,ENSG00000132155
N00278,ENSG00000169032
N00278,ENSG00000126934
N00278,ENSG00000100030
N00278,ENSG00000102882
N00280,ENSG00000109321
N00280,ENSG00000146648
N00280,ENSG00000177885
N00280,ENSG00000115904
N00280,ENSG00000100485
N00280,ENSG00000174775
N00280,ENSG00000133703
N00280,ENSG00000213281
N00280,ENSG00000078061
N00280,ENSG00000157764
N00280,ENSG00000132155
N00280,ENSG00000169032
N00280,ENSG00000126934
N00280,ENSG00000100030
N00280,ENSG00000102882
N00281,ENSG00000138798
N00281,ENSG00000146648
N00281,ENSG00000121879
N00281,ENSG00000051382
N00281,ENSG00000171608
N00281,ENSG00000142208
N00281,ENSG00000105221
N00281,ENSG00000117020
N00283,ENSG00000124882
N00283,ENSG00000146648
N00283,ENSG00000121879
N00283,ENSG00000051382
N00283,ENSG00000171608
N00283,ENSG00000142208
N00283,ENSG00000105221
N00283,ENSG00000117020
N00283,ENSG00000108443
N00283,ENSG00000175634
N00285,ENSG00000109321
N00285,ENSG00000146648
N00285,ENSG00000121879
N00285,ENSG00000051382
N00285,ENSG00000171608
N00285,ENSG00000142208
N00285,ENSG00000105221
N00285,ENSG00000117020
N00285,ENSG00000108443
N00285,ENSG00000175634
N00070,ENSG00000147889
N00070,ENSG00000110092
N00070,ENSG00000118971
N00070,ENSG00000112576
N00070,ENSG00000135446
N00070,ENSG00000105810
N00070,ENSG00000139687
N00070,ENSG00000101412
N00070,ENSG00000007968
N00070,ENSG00000112242
N00095,ENSG00000138798
N00095,ENSG00000141736
N00095,ENSG00000146648
N00095,ENSG00000162434
N00095,ENSG00000115415
N00095,ENSG00000168610
N00095,ENSG00000112715
N00005,ENSG00000105976
N00005,ENSG00000177885
N00005,ENSG00000115904
N00005,ENSG00000100485
N00005,ENSG00000174775
N00005,ENSG00000133703
N00005,ENSG00000213281
N00005,ENSG00000078061
