,train,es
0,0.647848586425502,0.5750532568659922
1,0.5521455650002954,0.5363795494821759
2,0.5150077684689399,0.5125574689444368
3,0.48748920678553115,0.4861854360684633
4,0.46145383148298086,0.4649353665626075
5,0.44681708770336526,0.4563028259885449
6,0.42458374628056206,0.44794469188382047
7,0.4143751521436448,0.43851236468393756
8,0.3977740023970622,0.42661422726990395
9,0.3800193835156674,0.4188247505532079
10,0.3708897960089651,0.4107381376915495
11,0.3544177925432003,0.4020843816275114
12,0.3437219946515137,0.40342474928768757
13,0.33606813753916115,0.39490169296381966
14,0.3329800531151165,0.39439668339769307
15,0.32069125265511067,0.3846541101970623
16,0.3097211148598458,0.3838859941055812
17,0.30424416012940525,0.37620212984777246
18,0.30009969148524207,0.37843743626898724
19,0.29390838235790756,0.37196198775347067
20,0.28529571383585767,0.367638790614484
21,0.28328860849794335,0.36573858661559705
22,0.2740998592740279,0.36185938549947266
23,0.26493375658718515,0.36295121926078305
24,0.2718539222914607,0.3666489717801369
25,0.26768973265757345,0.3622717473158231
26,0.25595581959263036,0.3574803351674683
27,0.2621014007954086,0.36193788219612705
28,0.2584265981456779,0.35969994956042617
29,0.24921850519069738,0.3539275940275168
30,0.24383468078476286,0.3505863234224819
31,0.24170993826656054,0.35244173229313586
32,0.23847572327726702,0.3483785654551102
33,0.2332897292782459,0.35291722354226707
34,0.23170334747195656,0.3466405255907161
35,0.23937291639107655,0.34618834978194063
36,0.22390150300517597,0.34641934349736414
37,0.23505166670305594,0.3444903590090623
38,0.2193427483359087,0.347975061393916
39,0.2219321045956878,0.3493232515631122
40,0.21966724680403502,0.3411054544995516
41,0.2161028001107469,0.33970995090946327
42,0.2131628787854454,0.3393125625920212
43,0.21441754689129472,0.33918626457804896
44,0.20617376816608204,0.34029147530190673
45,0.20703704016319144,0.33847100432457944
46,0.20391281330456418,0.33857203458751095
47,0.2057166358170898,0.33604934665437114
48,0.20067981286714257,0.3359694044539633
49,0.1987204532233543,0.3359677744556918
50,0.19541336562153974,0.3328018562084851
51,0.19317142900913106,0.33274067945282043
52,0.1911547156352241,0.3336953645295631
53,0.19329273356893006,0.3355584988979341
54,0.19147117560669813,0.3332116978356546
55,0.1914259842058642,0.3328853272909975
