,train,es
0,0.13297647072054614,0.011558057442245437
1,0.09963083344828062,0.010227461595810968
2,0.09394589631043745,0.009123331722148154
3,0.08716180339547921,0.006927546750766525
4,0.08117790483432402,0.006868729551014903
5,0.07708650147460941,0.005664982925169946
6,0.07481337019516046,0.005099920246774931
7,0.07329451011376058,0.00495692365046755
8,0.0716762252257695,0.005705611397908515
9,0.07069066741053963,0.00492978099048088
10,0.06983608392571942,0.004860118188841779
11,0.0688725969812116,0.0048522558668899745
12,0.06831988700055196,0.0047292410668224516
13,0.06767661869854125,0.004486532768174125
14,0.06708514426652865,0.004225438912565836
15,0.06656854485565344,0.004125490070915441
