number,value,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_noise_factor,params_noise_type,params_patience,cv_accuracy
13,0.4208621131092018,0 days 07:17:10.558417,64,0.1,0.0003167040057126,0.2,gaussian,11,0.47001098318150447
14,0.4483626693864061,0 days 05:28:39.139217,64,0.1,0.0003518875056297,0.3,gaussian,11,0.49938630914754717
9,0.6324455300183913,0 days 01:11:30.516156,128,0.1,0.001101068247818,0.1,masking,10,0.7410195102624576
