number,value,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_noise_factor,params_pathway_proportion,params_patience,cv_accuracy
14,0.3170412010559608,0 days 07:19:05.810376,128,0.0,0.000104541764117,0.2,0.2,15,0.3568878274472392
13,0.3204373733358584,0 days 07:15:20.674658,128,0.0,0.0001015385512358,0.2,0.5,14,0.35404356966474576
12,0.3589206880968024,0 days 07:42:19.799170,128,0.1,0.0001245360564669,0.2,0.4,13,0.3931755542233244
