,train_loss,es_loss
0,0.24867063921886295,0.02017581615314744
1,0.005988346899669946,0.01521959988823739
2,0.002115188212707543,0.014992552899525228
3,0.001029504667989758,0.012767107980744563
4,0.0006186154829865957,0.01256274046650859
5,0.00046982497423197594,0.012503027662690682
6,0.00035766773521793345,0.012404467351114274
7,0.00028587747581373154,0.012388796622819926
8,0.00023645429422424773,0.01236729213974123
9,0.00019431998693352452,0.012416616102275777
10,0.00016485479489945678,0.012422299591846125
11,0.00013938189470063958,0.012469600921699919
12,0.00012288631158389093,0.012422814428147943
